,Unnamed: 0_x,pre,post,jsa_adj,n2w_adj,conserved_x,average_size_x,Unnamed: 0_y,synaptic_weight,conserved_y,average_size_y,dummy_size,jsa_adj-s,n2w_adj-s,ave_scaled_adjacency,pre_brittin,post_brittin,pre_moyle,post_moyle,brittin_strata,moyle_strata,brittin_bool_1,brittin_bool_2
0,0,I1L,I1R,66.0,0.0,1,66.0,0.0,0.0,0.0,0.0,0,-0.7010927124559726,-0.6752466148955489,-0.6881696636757608,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
1,1,I1L,I2L,6988.0,9735.0,2,8361.5,0.0,12.5,1.0,12.5,1,0.28296272587716215,1.5908602148590834,0.9369114703681227,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
2,2,I1L,I2R,261.0,66.0,2,163.5,0.0,0.0,0.0,0.0,0,-0.673370838651442,-0.6598831787616193,-0.6666270087065307,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
3,3,I1L,I3,4193.0,4156.0,2,4174.5,1.0,3.0,1.0,3.0,1,-0.11438413198777744,0.2921843028712977,0.08890008544176013,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
4,4,I1L,I5,10599.0,0.0,1,10599.0,2.0,6.0,1.0,6.0,1,0.7963149633549069,-0.6752466148955489,0.060534174229678994,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
5,5,I1L,I6,1051.0,0.0,1,1051.0,0.0,0.0,0.0,0.0,0,-0.5610617088792408,-0.6752466148955489,-0.6181541618873949,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
6,6,I1L,M1,402.0,0.0,1,402.0,0.0,0.0,0.0,0.0,0,-0.6533257914389352,-0.6752466148955489,-0.6642862031672421,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
7,7,I1L,M2L,1808.0,1741.0,2,1774.5,3.0,3.0,1.0,3.0,1,-0.45344397313549867,-0.2699777920293122,-0.36171088258240547,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
8,8,I1L,M3L,1528.0,3695.0,2,2611.5,4.0,10.0,1.0,10.0,1,-0.49324974064969657,0.18487302926915228,-0.15418835569027214,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
9,9,I1L,M3R,187.0,2270.0,2,1228.5,5.0,4.5,1.0,4.5,1,-0.6838909343516228,-0.14683752362251193,-0.4153642289870674,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
