,Unnamed: 0,pre,post,cel_jsh,cel_n2u,n930,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,witvliet_7,witvliet_8,conserved,average_size,Z,classification,significance,Z_abs,male_only,herm_only,both_sexes
0,0.0,ADA,AIA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,1.75,0.972,variable,non-specific,0.972,0,1,0
1,1.0,ADA,AIB,17.0,10.0,7.0,2.0,1.0,0.0,1.0,2.0,1.0,6.0,0.0,9.0,5.222222222222222,0.0,variable,non-specific,0.0,0,0,1
2,2.0,ADA,ASH,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,1.8,0.972,variable,non-specific,0.972,0,1,0
3,3.0,ADA,AVA,5.0,17.0,0.0,3.0,4.0,5.0,1.0,2.0,9.0,3.0,5.0,10.0,5.4,2.725,stable,hermaphrodite-specific,2.725,0,1,0
4,4.0,ADA,AVB,53.0,62.0,9.0,5.0,8.0,9.0,10.0,21.0,25.0,28.0,45.0,11.0,25.0,3.994,stable,hermaphrodite-specific,3.994,0,0,1
5,5.0,ADA,AVD,0.0,8.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,7.0,2.571428571428572,1.506,variable,non-specific,1.506,0,1,0
6,6.0,ADA,AVH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,variable,non-specific,0.0,0,1,0
7,7.0,ADA,AVJ,20.0,24.0,3.0,3.0,2.0,4.0,5.0,7.0,8.0,10.0,18.0,11.0,9.454545454545457,2.743,variable,hermaphrodite-specific,2.743,0,0,1
8,7.0,ADA,AVJ,20.0,24.0,3.0,3.0,2.0,4.0,5.0,7.0,8.0,10.0,18.0,11.0,9.454545454545457,2.743,stable,hermaphrodite-specific,2.743,0,0,1
9,8.0,ADA,OLQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,1.25,0.0,variable,non-specific,0.0,0,1,0
10,9.0,ADA,PVP,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.707,variable,non-specific,0.707,0,1,0
11,10.0,ADA,RIC,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,11.0,2.363636363636364,0.585,variable,non-specific,0.585,0,0,1
