,pre,post,cel_jsh_chemical.csv' with 87 nodes and 918 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 1322 edges_weight,n930_head1.csv' with 89 nodes and 901 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 389 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 466 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 487 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 529 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 726 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 706 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 1056 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 1037 edges_weight,conserved,average_size
0,ADA,AIA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4,1.75
1,ADA,AIB,17.0,10.0,7.0,2.0,1.0,0.0,1.0,2.0,1.0,6.0,0.0,9,5.222222222222222
2,ADA,ASH,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5,1.8
3,ADA,AVA,5.0,17.0,0.0,3.0,4.0,5.0,1.0,2.0,9.0,3.0,5.0,10,5.4
4,ADA,AVB,53.0,62.0,9.0,5.0,8.0,9.0,10.0,21.0,25.0,28.0,45.0,11,25.0
5,ADA,AVD,0.0,8.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,7,2.5714285714285716
6,ADA,AVH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0
7,ADA,AVJ,20.0,24.0,3.0,3.0,2.0,4.0,5.0,7.0,8.0,10.0,18.0,11,9.454545454545455
8,ADA,OLQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4,1.25
9,ADA,PVP,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1.0
10,ADA,RIC,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,11,2.3636363636363638
11,ADA,RIM,36.0,38.0,20.0,2.0,4.0,5.0,5.0,10.0,8.0,13.0,11.0,11,13.818181818181818
12,ADA,RIP,6.0,13.0,4.0,0.0,0.0,1.0,4.0,4.0,5.0,8.0,11.0,9,6.222222222222222
13,ADA,SDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0
14,ADA,AVE,17.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,6,4.833333333333333
15,ADA,IL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0
16,ADA,RIA,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.5
17,ADA,SIBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0
18,ADA,URA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,1.0
19,ADA,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0
20,ADA,DVA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2,2.0
21,ADA,SAA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,1.0
22,ADA,RID,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
23,ADA,SMD,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5,1.8
24,ADA,ADA,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0
25,ADA,ADL,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.5
26,ADA,RIF,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1.25
