pre,post,Z
PHB,AVA,10.384
AIY,RIA,-9.573
PHB,PVC,9.113
AIY,AIZ,-8.257
AIY,RIB,-7.778
PHC,AVG,-7.679
AIM,AIB,-7.502
RIA,RIB,-7.123
AWA,AIZ,-5.453
SMD,RMD,-4.975
RIA,SIA,-4.943
URB,URX,4.942
PLN,SAA,-4.687
SMB,SAA,-4.465
ALM,CEP,-4.422
RIH,OLQ,-4.394
OLQ,IL2,-4.358
DVC,AVK,-4.331
RMF,AVK,4.312
DVC,RMF,4.126
PVR,IL1,4.126
AVF,AVB,-4.070
DVA,RIR,-4.029
PQR,AVA,-4.028
ASE,AIY,4.018
ADA,AVB,3.994
PDE,DVA,-3.884
RIV,SAA,-3.848
IL2,IL1,3.840
AVF,PVC,-3.794
PHA,PVC,-3.714
SMD,RIA,-3.640
OLQ,RIC,-3.601
SIB,SMD,-3.566
RIB,RIA,-3.563
LUA,AVA,3.527
AVA,DA06,-3.517
ADL,AVA,3.447
ADL,AVB,3.447
BDU,PVN,3.447
SDQ,AVA,3.447
SDQ,RMH,3.447
DVC,AVA,-3.414
PHC,DVA,3.408
PHA,PHC,-3.408
RIM,SAA,-3.377
RIC,AVA,-3.324
AVF,RIF,-3.299
AIN,RIA,-3.285
RMG,RIB,-3.285
SMD,RIB,-3.279
URA,IL1,3.214
PHC,PVC,3.153
RMF,RMD,3.118
CEP,URB,3.062
ALN,SAA,-3.036
AUA,RIA,-3.031
AIZ,SMB,-3.022
AVA,AS11,-3.021
PVP,PVC,3.018
AVA,VA10,-3.006
IL1,URA,2.984
AUA,ADF,-2.962
FLP,AVA,2.953
ASH,AVA,2.939
AVF,vBWM,-2.919
PHB,AVD,2.919
ADA,RIG,-2.919
AWC,AWC,2.898
RIS,RMD,2.873
AVA,PVC,2.868
AIA,AIA,-2.826
CEP,URY,2.766
PVC,SIB,2.766
AVA,VA11,-2.765
ADA,AVJ,2.743
URX,AUA,2.733
ADA,AVA,2.725
ADE,RMD,2.725
AVF,PQR,-2.725
SMD,AVE,-2.723
OLQ,RIH,2.669
SMB,RMD,-2.655
PQR,DBO6,-2.626
IL2,URB,-2.626
BAG,AVE,2.599
PVN,MUBODY,2.599
RIG,AIZ,2.599
RIM,RIM,2.599
URB,IL1,2.599
RIG,AVA,-2.599
PHA,LUA,-2.599
PHB,PHA,-2.599
ASG,AIB,2.564
MNVC,PVC,-2.546
AIM,AVF,2.525
PVN,AVJ,2.525
PVN,PVW,2.525
PVP,AVB,2.520
AWB,RIA,-2.476
IL2,RIP,2.470
AVF,VA12,-2.463
LUA,AVF,-2.463
AWB,RIB,-2.463
AIY,SIB,-2.463
AIZ,RIA,-2.459
PHB,PHC,-2.454
SDQ,PVR,-2.446
CEP,MUHEAD,2.440
AVG,VD13,-2.437
AVG,VD13,-2.437
AVL,RME,-2.437
SIA,PLN,2.437
URX,RIA,2.424
DVB,AVL,2.423
AIZ,RIM,2.407
PVC,RID,2.402
RIF,PVP,2.372
RIM,AVA,2.367
ASE,AIA,2.362
AIB,RIB,2.359
AIN,RIB,2.357
AVE,AVD,2.357
RMG,MUHEAD,2.357
ASI,AFD,-2.357
ADA,RIA,-2.357
AFD,AIY,-2.356
AIB,SMD,2.354
AUA,AVE,2.349
LUA,AVD,2.341
AVG,DA09,-2.323
AVG,DA09,-2.323
ASH,ADL,2.320
RIH,RIP,-2.312
PHB,AVG,-2.299
PVQ,AVF,-2.299
AIA,ASE,2.295
PHA,AVG,2.295
RIH,CEP,-2.290
AVM,PVC,2.285
FLP,AIB,-2.280
IL1,AVE,2.254
RIF,RIM,-2.239
PVR,AVJ,2.230
