,pre,post,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,cel_n2u_adjacency.csv' with 89 nodes and 2150 edges_weight,cel_jsh_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
0,ADA,ADA,114688.0,50280.0,176400.0,137400.0,0.0,718.0,718.0,0.0,93360.0,7,81937.71428571429,7,0.0,no,no,no
1,ADA,ADE,564224.0,812520.0,594360.0,303360.0,967464.0,32148.0,32148.0,1412280.0,3714000.0,9,936944.8888888889,9,0.0,no,yes,no
2,ADA,ADF,57344.0,335160.0,61080.0,18000.0,206806.0,13532.0,13532.0,552840.0,987600.0,9,249543.77777777778,9,0.0,no,yes,no
3,ADA,ADL,199680.0,514560.0,463920.0,181200.0,1343231.0,25870.0,25870.0,667200.0,2946000.0,9,707503.4444444445,9,0.0,no,yes,no
4,ADA,AIA,125440.0,45960.0,151920.0,0.0,770457.0,6069.0,6069.0,337320.0,658320.0,8,262694.375,8,0.0,no,no,no
5,ADA,AIB,303360.0,240000.0,265320.0,215520.0,536953.0,26466.0,26466.0,374520.0,884160.0,9,319196.1111111111,9,0.0,no,yes,no
6,ADA,AIM,10496.0,17280.0,0.0,13440.0,41563.0,258.0,258.0,49200.0,194880.0,8,40921.875,8,0.0,no,no,no
7,ADA,AIZ,225536.0,116760.0,0.0,133440.0,232151.0,1534.0,1534.0,310920.0,14160.0,8,129504.375,8,0.0,no,no,no
8,ADA,ALM,1058816.0,1026240.0,1104360.0,468840.0,2487428.0,2650.0,2650.0,2082120.0,2490240.0,9,1191482.6666666667,9,0.0,no,yes,no
9,ADA,ASH,2816256.0,2086920.0,1518840.0,1944240.0,5417532.0,55070.0,55070.0,4461120.0,8068320.0,9,2935929.777777778,9,0.0,no,yes,no
10,ADA,ASK,266496.0,280560.0,256800.0,171840.0,291624.0,240.0,240.0,299520.0,659040.0,9,247373.33333333334,9,0.0,no,yes,no
11,ADA,AVA,2582528.0,2222760.0,1909080.0,1650480.0,4699790.0,57252.0,57252.0,3385080.0,9567360.0,9,2903509.111111111,9,0.0,no,yes,no
12,ADA,AVB,2023424.0,1593600.0,1383960.0,881400.0,5651373.0,42019.0,42019.0,3999360.0,12387120.0,9,3111586.111111111,9,0.0,no,yes,no
13,ADA,AVD,803584.0,677760.0,623640.0,864360.0,1491915.0,21166.0,21166.0,1478280.0,2606400.0,9,954252.3333333334,9,0.0,no,yes,no
14,ADA,AVE,248320.0,53040.0,81600.0,99360.0,201398.0,2517.0,2517.0,561360.0,518640.0,9,196528.0,9,0.0,no,yes,no
15,ADA,AVH,807936.0,571560.0,404640.0,218040.0,793435.0,7752.0,7752.0,1168920.0,1125120.0,9,567239.4444444445,9,0.0,no,yes,no
16,ADA,AVJ,534528.0,397200.0,367080.0,425520.0,865412.0,6162.0,6162.0,588720.0,2580240.0,9,641224.8888888889,9,0.0,no,yes,no
17,ADA,AWA,7168.0,3840.0,6480.0,73320.0,0.0,3626.0,3626.0,102360.0,328080.0,8,66062.5,8,0.0,no,no,no
18,ADA,AWB,281344.0,138360.0,196800.0,117720.0,290272.0,5220.0,5220.0,237840.0,441120.0,9,190432.88888888888,9,0.0,no,yes,no
19,ADA,BDU,534272.0,336360.0,272040.0,112440.0,134829.0,6834.0,6834.0,352800.0,449040.0,9,245049.88888888888,9,0.0,no,yes,no
20,ADA,CEPD,327936.0,51000.0,278040.0,31080.0,97658.0,54.0,54.0,218760.0,114240.0,9,124313.55555555556,9,0.0,no,yes,no
21,ADA,CEPV,162304.0,85440.0,17640.0,32160.0,134492.0,866.0,866.0,92280.0,74880.0,9,66769.77777777778,9,0.0,no,yes,no
22,ADA,DVA,1600256.0,1444440.0,1299120.0,438960.0,1970073.0,31409.0,31409.0,1854480.0,2680080.0,9,1261136.3333333333,9,0.0,no,yes,no
