source,target,weight
AIYR,AWAR,5
AIYR,RIAR,68
AIYR,ASER,2
AIYR,RIBR,64
AIYR,RIH,1
AIYR,AFDR,2
AIYR,AIZR,86
AIYR,RIAL,3
AIYR,BAGL,3
IL1DL,pBWM,33
IL1DL,pBWM4,4
IL1DL,RMDVL,24
IL1DL,RIPL,31
CEPVR,OLLR,17
CEPVR,RMDDR,6
CEPVR,AVEL,18
CEPVR,IL1VR,8
CEPVR,RIBR,5
CEPVR,RICR,13
CEPVR,RMFL,4
CEPVR,RIPR,2
CEPVR,RICL,11
CEPVR,RMHL,1
CEPVR,RMGR,1
CEPVR,ALMR,1
CEPVR,OLQVR,12
CEPVR,AVER,1
CEPVR,URAVR,6
CEPVR,pBWM3,3
ADLL,ASHL,4
ADLL,ASKL,5
ADLL,AVDR,12
ADLL,AVAR,12
ADLL,AVHL,6
ADLL,PVPL,2
ADLL,ADAL,1
ADLL,AIAL,7
ADLL,ASEL,3
ADLL,AVDL,6
ADLL,RID,1
ADLL,AIBL,12
ADLL,AWCL,5
CEPVL,RMHL,5
CEPVL,OLLL,10
CEPVL,URBL,5
CEPVL,OLQVL,8
CEPVL,RICR,14
CEPVL,URYVL,1
CEPVL,SMDVR,5
CEPVL,RMDDL,3
CEPVL,RICL,18
CEPVL,RMFR,1
CEPVL,URXL,3
CEPVL,IL1VL,6
CEPVL,AVER,13
CEPVL,RMHR,2
CEPVL,URAVL,2
RMDR,RIAR,22
RMDR,RMDDR,3
RMDR,pBWM,6
RMDR,IL2L,3
RMDR,RMDDL,2
RMDR,RMDVL,5
RMDR,RMFR,6
RMDR,IL1L,3
RMDR,pBWM9,4
RMDR,RMDL,14
RMDR,ADEL,2
RMDR,pBWM5,6
RMDR,pBWM7,3
RMDR,RIAL,20
RMDR,RMHR,8
HSNR,hyp,1
HSNR,BDUL,1
HSNR,RIFR,1
HSNR,PVNL,1
HSNR,BDUR,6
AIYL,AIZL,81
AIYL,RIAL,55
AIYL,AWCR,1
AIYL,RIR,4
AIYL,AWBL,7
AIYL,SMBDL,2
AIYL,RIBL,64
AIYL,ASEL,1
AIYL,ASER,4
AIYL,AIBL,2
AIYL,AFDL,2
ASKR,AIBR,8
ASKR,AWCR,1
ASKR,ASER,1
ASKR,AIAR,35
ASKR,AIMR,7
ASKR,AIAL,2
ASKR,ASJR,2
ASKR,ADLR,3
ASKR,ASHR,4
RMFR,AIBR,1
RMFR,AVKR,6
RMFR,IL1L,3
RMFR,pBWM9,3
RMFR,RMDL,9
RMFR,AVKL,4
RMFR,pBWM5,4
RMFR,RMHR,3
RIBR,RIAR,3
RIBR,RIMR,2
RIBR,AVEL,5
RIBR,RIBR,2
RIBR,AVAR,6
RIBR,RIS,1
RIBR,SMDDL,1
RIBR,SMDVL,6
RIBR,SMDDR,1
RIBR,AVER,7
RIBR,AVDL,2
RIBR,AIBL,1
RIBR,BAGL,13
RIBR,AUAR,2
AVAR,ADEL,4
AVAR,RIGL,4
RIS,OLLL,3
RIS,CEPVR,11
RIS,AVKR,15
RIS,RMDL,11
RIS,SMDVR,3
RIS,SMDVL,4
RIS,AVKL,5
RIS,CEPVL,6
RIS,AVEL,26
RIS,RIBR,22
RIS,RMFR,1
RIS,RIBL,12
RIS,RMDR,12
RIS,AVER,18
RIS,CEPDL,4
RIS,RIMR,7
RIS,URYDL,2
RIS,RIML,10
RIS,URYVR,1
RIS,CEPDR,4
RIS,RICR,1
RIS,hyp,1
RIS,SMDDR,2
AVAL,RIGR,5
AVAL,ADER,2
AWCL,BAGR,1
AWCL,AIBR,6
AWCL,AIYR,5
AWCL,AIAR,6
AWCL,AWCR,26
AWCL,RIAR,2
AWCL,ASIL,10
AWCL,AIAL,5
AWCL,ASEL,2
AWCL,AIZR,1
AWCL,AIBL,15
AWCL,AIYL,15
RIH,OLQVL,24
RIH,OLQVR,17
RIH,RIPR,16
RIH,SMDVL,2
RIH,CEPVL,1
RIH,OLQDR,5
RIH,RIBR,29
RIH,URYVR,2
RIH,RIBL,18
RIH,AUAL,1
RIH,AIZL,29
RIH,URAVL,3
RIH,FLPR,1
