,pre,post,cel_jsh_chemical.csv' with 87 nodes and 742 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 986 edges_weight,n930_head1.csv' with 89 nodes and 702 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 349 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 410 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 419 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 469 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 620 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 611 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 859 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 838 edges_weight,conserved,average_size
0,ADA,ADE,7.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,2.0,9,2.5555555555555554
1,ADA,ADL,6.0,4.0,0.0,1.0,0.0,3.0,4.0,3.0,1.0,0.0,2.0,8,3.0
2,ADA,AIA,2.0,11.0,0.0,0.0,1.0,4.0,0.0,2.0,6.0,6.0,5.0,8,4.625
3,ADA,AIB,23.0,10.0,7.0,2.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,9,6.111111111111111
4,ADA,ASH,10.0,10.0,0.0,2.0,4.0,3.0,4.0,7.0,6.0,6.0,5.0,10,5.7
5,ADA,AVA,5.0,17.0,0.0,3.0,4.0,5.0,1.0,2.0,9.0,3.0,5.0,10,5.4
6,ADA,AVB,53.0,62.0,9.0,5.0,8.0,9.0,10.0,21.0,25.0,28.0,45.0,11,25.0
7,ADA,AVD,0.0,8.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,7,2.5714285714285716
8,ADA,AVH,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
9,ADA,AVJ,20.0,24.0,3.0,3.0,2.0,4.0,5.0,7.0,8.0,11.0,18.0,11,9.545454545454545
10,ADA,AVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0
11,ADA,DVA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,6,1.5
12,ADA,OLQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4,1.25
13,ADA,PVP,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,7,2.2857142857142856
14,ADA,PVQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0
15,ADA,RIC,8.0,14.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,11,6.181818181818182
16,ADA,RIF,6.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,9,2.0
17,ADA,RIM,45.0,53.0,36.0,2.0,4.0,6.0,5.0,10.0,9.0,15.0,12.0,11,17.90909090909091
18,ADA,RIP,6.0,13.0,4.0,0.0,0.0,1.0,4.0,4.0,5.0,8.0,11.0,9,6.222222222222222
19,ADA,SDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0
20,ADA,SMB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,5,2.0
21,ADA,URB,2.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,8.0,8,3.625
22,ADA,URX,3.0,14.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,8,4.0
23,ADA,ALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0
24,ADA,AVE,17.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,6,4.833333333333333
25,ADA,FLP,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,5,2.2
26,ADA,IL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0
27,ADA,PVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3,1.0
28,ADA,RIA,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.5
29,ADA,RMG,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,2.3333333333333335
30,ADA,SIBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0
31,ADA,URA,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,1.3333333333333333
32,ADA,ADF,0.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4,3.75
33,ADA,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0
34,ADA,AQR,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0
35,ADA,CEPD,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.3333333333333333
36,ADA,SAA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,1.0
37,ADA,ASK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1.0
38,ADA,RID,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
39,ADA,SMD,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5,1.8
40,ADA,ADA,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0
41,ADA,AWA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.5
42,ADA,BDU,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
43,ADA,RIR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
44,ADA,RIV,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
45,ADA,URY,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0
46,ADA,unk,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.0
47,ADA,AIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2,1.5
48,ADA,AVF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
49,ADA,RMF,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3,2.6666666666666665
50,ADA,PVR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
51,ADA,AIN,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
52,ADA,AVL,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
53,ADA,DVC,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
54,ADA,RIB,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
55,ADA,RIG,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.0
56,ADE,ADE,15.0,14.0,6.0,0.0,1.0,2.0,0.0,2.0,4.0,9.0,8.0,9,6.777777777777778
57,ADE,AIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2,1.5
58,ADE,ALM,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5,3.2
59,ADE,AQR,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4,3.5
60,ADE,AVA,36.0,46.0,14.0,2.0,4.0,3.0,4.0,4.0,5.0,12.0,9.0,11,12.636363636363637
61,ADE,AVD,9.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,7,3.5714285714285716
62,ADE,AVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2,1.5
63,ADE,BDU,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5,4.0
64,ADE,BWM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2,2.0
65,ADE,CEPD,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5,3.8
66,ADE,CEPV,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,5,2.0
67,ADE,CEPsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,6.0,4,4.25
68,ADE,FLP,26.0,42.0,0.0,3.0,4.0,4.0,1.0,5.0,2.0,5.0,4.0,10,9.6
69,ADE,GLR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,2.0
70,ADE,IL1,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,5.0,5,4.6
71,ADE,IL2,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,7.0,5,8.2
72,ADE,OLL,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,5,7.2
73,ADE,PVR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4,1.75
74,ADE,RIG,80.0,87.0,29.0,2.0,0.0,1.0,5.0,8.0,10.0,34.0,34.0,10,29.0
75,ADE,RIV,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6,4.5
76,ADE,RMD,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5,9.2
77,ADE,RMH,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5,2.6
78,ADE,SAA,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,6,1.8333333333333333
79,ADE,SDQ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,4,1.75
80,ADE,SIBD,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1.6666666666666667
81,ADE,AVE,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5,3.2
82,ADE,AVK,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,5,4.0
83,ADE,PVC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,1.5
84,ADE,SMB,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5,2.4
85,ADE,URB,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4,2.5
86,ADE,RIF,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4,1.0
87,ADE,RIS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0
88,ADE,SMD,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4,1.25
89,ADE,DVC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1.5
90,ADE,ALN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4,2.0
91,ADE,ASI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
92,ADE,AVH,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0
93,ADE,AVJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
94,ADE,AVL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95,ADE,RIA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
96,ADE,RIH,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,3.0
97,ADE,RME,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.5
98,ADE,RMG,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2.6666666666666665
