source,target,weight
ADAL,AIBR,1
ADAL,AVAL,1
ADAL,AVAR,1
ADAL,AVBL,3
ADAL,AVDR,1
ADAL,AVJR,3
ADAL,RICR,1
ADAL,RIML,1
ADAR,AIBL,1
ADAR,AVAL,1
ADAR,AVBL,1
ADAR,AVBR,1
ADAR,AVDL,1
ADAR,RICL,1
ADAR,RIMR,1
ADEL,ADAL,1
ADEL,AVAR,2
ADEL,AVDR,1
ADEL,FLPR,1
ADER,PVCR,1
ADER,RIGL,1
ADER,RIGR,1
ADFL,AIYL,1
ADFL,AIZL,3
ADFL,ASER,1
ADFL,AUAL,2
ADFL,AVHR,1
ADFL,RIAL,2
ADFR,AIAR,1
ADFR,AIZR,7
ADFR,ASER,1
ADFR,AUAR,2
ADFR,RIAR,2
ADFR,URXR,1
ADLL,AIAL,1
ADLL,AIBL,2
ADLL,ASKL,5
ADLL,AWCL,2
ADLL,PVQL,1
ADLR,ADAR,1
ADLR,AIAR,3
ADLR,AIBR,3
ADLR,ASER,1
ADLR,ASKR,3
ADLR,AWCR,1
ADLR,CEPshVR,1
AFDL,ADFL,1
AFDL,AIYL,3
AFDR,AIYR,3
AIAL,AIBL,3
AIAL,ASER,1
AIAL,ASKL,2
AIAL,AWBL,1
AIAL,AWCR,1
AIAL,RIFL,1
AIAR,AIBR,2
AIAR,ASHR,1
AIAR,ASKR,2
AIAR,RIFR,1
AIBL,AVBL,4
AIBL,AVEL,1
AIBL,AVER,1
AIBL,RIBR,3
AIBL,RIMR,7
AIBL,SMDDR,2
AIBL,SMDVR,1
AIBR,AVBR,1
AIBR,AVEL,1
AIBR,AVER,1
AIBR,RIBL,2
AIBR,RIML,5
AIBR,SAADR,1
AIBR,SIADL,1
AIBR,SMDDL,2
AIBR,SMDVL,1
AIML,AIAL,2
AIML,ASGL,2
AIML,ASJL,2
AIML,CEPshVL,1
AIMR,AIAR,4
AIMR,ASGR,2
AIMR,ASJR,1
AIMR,ASKR,1
AIMR,AWCR,1
AINL,AFDR,1
AINL,AUAR,1
AINL,BAGL,2
AINL,CEPshDR,1
AINL,CEPshVL,1
AINL,CEPshVR,1
AINL,RIBR,1
AINR,AFDL,4
AINR,AIAR,1
AINR,AIBL,1
AINR,ASER,1
AINR,ASGR,1
AINR,AUAL,2
AINR,BAGR,1
AINR,CEPshVL,1
AINR,CEPVL,1
AINR,RIBL,1
AIYL,ADFL,2
AIYL,AIZL,5
AIYL,BAGR,1
AIYL,RIAL,2
AIYL,RIBL,2
AIYL,SIBDL,1
AIYR,ADFR,1
AIYR,AIZR,3
AIYR,AUAR,1
AIYR,BAGL,1
AIYR,RIAR,1
AIYR,RIBR,3
AIZL,AIAL,1
AIZL,AIBR,4
AIZL,ASER,1
AIZL,AVER,1
AIZL,RIAL,2
AIZL,RIAR,1
AIZL,RIBL,1
AIZL,RIML,4
AIZL,SMBDL,2
AIZL,SMBVL,1
AIZR,ADFR,2
AIZR,AIAR,1
AIZR,AIBL,4
AIZR,AVEL,2
AIZR,AVER,1
AIZR,RIAR,2
AIZR,RIMR,3
AIZR,SMBDR,3
AIZR,SMBVR,4
ALA,AVEL,1
ALA,AVER,1
ALA,IL1L,1
ALML,BDUL,1
ALML,PVR,1
ALMR,BDUR,1
ALMR,CEPDR,1
ALMR,PVR,1
ASEL,AFDR,1
ASEL,AIBL,4
ASEL,AIBR,3
ASEL,AIYL,5
ASEL,AIYR,4
ASEL,AWCL,1
ASEL,AWCR,1
ASER,AIBL,1
ASER,AIBR,6
ASER,AIYL,2
ASER,AIYR,8
ASER,AIZR,1
ASER,ASIR,1
ASER,AWCR,1
ASGL,AIAL,3
ASGL,AIML,1
ASGR,AIAR,4
ASGR,AIMR,2
ASGR,ASJR,1
ASHL,ADAL,2
ASHL,AIAL,2
ASHL,AIBL,1
ASHL,AVBL,1
ASHL,AVDL,1
ASHL,SMBDL,1
ASHL,SMBVL,1
ASHR,AIAR,2
ASHR,AIBR,2
ASHR,AVBR,2
ASHR,AVDL,1
ASHR,AVHL,1
ASIL,AINR,1
ASIL,AWCL,1
ASIL,AWCR,1
ASIL,BAGR,1
ASIR,AIAR,1
ASIR,AIBR,2
ASIR,ASER,1
ASIR,AWCR,2
ASIR,CEPshVR,1
ASJL,CEPshDL,1
ASJL,PVQL,3
ASJR,AIAR,1
ASJR,ASKR,1
ASJR,PVQR,2
ASKL,AIAL,2
ASKR,AIAR,3
AUAL,AVEL,1
AUAL,RIAL,1
AUAL,RIBL,2
AUAL,URXL,1
AUAR,AVER,1
AUAR,RIAR,2
AUAR,RIBR,3
AVHL,ADLR,1
AVHR,ADFL,1
AVHR,AIZL,1
AVHR,BDUL,1
AVHR,DVA,1
AVHR,RIFL,1
AVJL,AVBR,1
AVJL,AVDL,1
AVJR,PVCL,1
AVJR,PVCR,1
AVKL,AVEL,1
AVKL,AVER,1
AVKL,DVC,1
AVKL,RIGL,1
AVKL,RIGR,1
AVKL,RIML,1
AVKL,RIMR,1
AVKL,RMDL,1
AVKL,SMBVR,1
AVKR,AIBR,1
AVKR,AVEL,1
AVKR,AVER,1
AVKR,PVPL,1
AVKR,RIML,1
AVKR,RIMR,2
AVKR,RMGL,1
AVKR,SAAVL,1
AWAL,ADFL,2
AWAL,ADLL,2
AWAL,AIAL,2
AWAL,AIYL,1
AWAL,AWBL,2
AWAL,PVQL,2
AWAR,ADLR,1
AWAR,AIAR,1
AWAR,AIYR,1
AWAR,ASER,2
AWAR,ASKR,1
AWAR,AWBR,3
AWBL,ADFL,1
AWBL,AIZL,2
AWBL,AVHR,1
AWBR,ADFR,2
AWBR,AIAR,1
AWBR,AIZR,1
AWBR,ASER,1
AWBR,AVHL,1
AWCL,AIAL,3
AWCL,AIAR,3
AWCL,AIBL,4
AWCL,AIBR,3
AWCL,AIYL,1
AWCR,ADLR,1
AWCR,AIAL,1
AWCR,AIAR,3
AWCR,AIBL,2
AWCR,AIBR,2
AWCR,AIYL,2
AWCR,AIYR,1
AWCR,ASER,1
AWCR,AWCL,2
BAGL,RIAR,2
BAGL,RIBR,2
BAGR,AVEL,2
BAGR,RIAL,2
BAGR,RIBL,3
BDUL,AVJL,1
BDUL,BDUR,1
BDUL,GLRDR,1
BDUL,RIFL,1
BDUR,ALMR,1
CEPDL,ADAL,1
CEPDL,AVER,2
CEPDL,OLLL,1
CEPDL,RICL,2
CEPDL,RICR,1
CEPDL,SMDDR,1
CEPDL,URBL,2
CEPDL,URYDL,1
CEPDR,OLLR,1
CEPDR,RICL,1
CEPDR,RICR,1
CEPDR,SIBVR,1
CEPDR,SMDDL,1
CEPVL,AVER,2
CEPVL,OLLL,3
CEPVL,RICL,1
CEPVL,RICR,1
CEPVL,SMDVR,2
CEPVR,AVEL,3
CEPVR,OLLR,3
CEPVR,OLQVR,1
CEPVR,RICL,2
CEPVR,RICR,2
CEPVR,URYVR,1
DVA,AIZR,3
DVA,AUAL,1
DVA,AVAL,1
DVA,AVBR,1
DVA,AVEL,2
DVA,AVER,1
DVA,RIR,1
DVC,ADEL,1
DVC,AIBL,1
DVC,AVAL,2
DVC,AVAR,3
DVC,AVDR,1
DVC,CEPshVL,1
DVC,RIBL,1
FLPL,ADEL,1
FLPL,ADER,1
FLPL,AVAL,1
FLPL,AVDR,1
IL1DL,BWM-DL01,1
IL1DL,BWM-DL02,1
IL1DL,RIPL,2
IL1DL,RMDVL,2
IL1DL,RMEL,1
IL1DR,BWM-DR01,1
IL1DR,BWM-DR02,1
IL1DR,IL1R,1
IL1DR,RIPR,2
IL1DR,RMDVR,2
IL1L,BWM-DL02,3
IL1L,BWM-VL02,1
IL1L,RMDDL,1
IL1L,RMDVL,2
IL1L,RMER,3
IL1R,BWM-DR02,2
IL1R,BWM-VR02,1
IL1R,RMDDR,1
IL1R,RMDVL,1
IL1R,RMDVR,2
IL1R,RMEL,3
IL1VL,BWM-VL01,2
IL1VL,BWM-VL02,1
IL1VL,RIPL,1
IL1VL,RMDDL,3
IL1VL,RMEL,2
IL1VR,BWM-VR01,1
IL1VR,BWM-VR02,2
IL1VR,RIPR,2
IL1VR,RMDDR,3
IL1VR,RMER,1
IL2DL,GLRDL,1
IL2DL,RIPL,3
IL2DL,RMEL,1
IL2DL,RMER,1
IL2DL,RMEV,2
IL2DR,RIH,2
IL2DR,RIPR,1
IL2DR,RMED,1
IL2DR,RMER,1
IL2L,OLQVL,2
IL2L,RIH,2
IL2R,OLQDR,1
IL2R,OLQVR,1
IL2R,RIH,2
IL2VL,RIPL,2
IL2VL,RMED,1
IL2VL,RMEL,1
IL2VL,RMER,1
IL2VL,RMEV,1
IL2VR,RIPR,3
IL2VR,RMEL,2
IL2VR,RMER,1
IL2VR,RMEV,1
OLLL,AVER,5
OLLL,CEPDL,1
OLLL,CEPVL,2
OLLL,RIBL,3
OLLL,SMDDR,3
OLLL,SMDVR,2
OLLR,AVEL,3
OLLR,CEPDR,1
OLLR,RIBR,3
OLLR,SMDDL,1
OLLR,SMDVL,2
OLQDL,RICL,1
OLQDL,RICR,1
OLQDL,RMDDR,1
OLQDL,SIBVL,1
OLQDR,AVAR,1
OLQDR,IL2R,1
OLQDR,RICL,1
OLQDR,RICR,2
OLQVL,IL2L,2
OLQVL,RICL,1
OLQVL,RICR,1
OLQVL,RMDVR,1
OLQVR,IL2R,1
OLQVR,RICL,1
OLQVR,RICR,1
OLQVR,RIH,1
OLQVR,RMDVL,1
OLQVR,SIBDR,1
OLQVR,SMBVR,1
PVCL,AVBR,1
PVCL,AVER,1
PVCL,RIH,1
PVCL,RIS,1
PVCL,SIAVL,2
PVCL,SIAVR,1
PVCL,SIBVL,1
PVCL,SMBDR,1
PVCR,AVBL,1
PVCR,AVBR,1
PVCR,AVDR,1
PVCR,BDUR,1
PVCR,RID,1
PVPL,AVAL,1
PVPL,AVBR,2
PVPL,AVHR,1
PVPL,PVCR,1
PVPL,RID,1
PVPR,ADAR,1
PVPR,AVAL,1
PVPR,AVBR,1
PVPR,AVJL,1
PVPR,RIGR,1
PVPR,RIR,1
PVPR,URXR,1
PVQL,AIAL,3
PVQL,ASJL,2
PVQL,ASKL,2
PVQR,AIAR,4
PVQR,ASKR,1
PVQR,CEPshVR,1
PVR,AVBL,2
PVR,AVBR,1
PVR,AVJL,2
PVR,CEPVR,1
PVR,IL1VR,1
PVR,RIPL,1
PVR,RIPR,1
PVR,URYVR,1
PVT,AIBL,1
PVT,AVKL,1
PVT,AVKR,2
PVT,RIGL,1
PVT,RIGR,2
RIAL,CEPVL,1
RIAL,RIAR,3
RIAL,RMDDL,6
RIAL,RMDDR,5
RIAL,RMDL,3
RIAL,RMDR,2
RIAL,RMDVL,5
RIAL,RMDVR,6
RIAL,SIAVR,1
RIAL,SMDDL,3
RIAL,SMDDR,2
RIAL,SMDVL,2
RIAL,SMDVR,3
RIAR,CEPVL,1
RIAR,GLRVL,1
RIAR,RIAL,3
RIAR,RICR,1
RIAR,RMDDL,4
RIAR,RMDDR,9
RIAR,RMDL,3
RIAR,RMDR,1
RIAR,RMDVL,5
RIAR,RMDVR,6
RIAR,SIADR,1
RIAR,SIAVL,2
RIAR,SMDDL,2
RIAR,SMDDR,4
RIAR,SMDVL,4
RIAR,SMDVR,1
RIBL,AIBR,1
RIBL,AVAL,1
RIBL,AVDR,1
RIBL,AVEL,1
RIBL,AVER,1
RIBL,RIAL,1
RIBL,RIS,1
RIBR,AVAR,2
RIBR,BAGL,2
RIBR,BAGR,1
RIBR,CEPshVR,1
RIBR,RIAR,2
RICL,ADAR,1
RICL,AVAL,2
RICL,AVAR,1
RICL,SMDDL,1
RICL,SMDDR,1
RICR,ADAL,1
RICR,AVAL,2
RICR,AVAR,2
RICR,BWM-VR04,1
RICR,CEPVR,1
RICR,RMDDL,1
RICR,SMDDL,1
RICR,SMDDR,1
RIFL,ASHL,3
RIFL,AVBL,3
RIFL,AVEL,1
RIFL,AVJR,1
RIFL,CEPshVL,1
RIFL,PVQR,1
RIFR,ALMR,1
RIFR,ASHR,2
RIFR,AVBR,3
RIFR,AVJL,2
RIGL,AVKR,1
RIGL,BAGR,2
RIGL,CEPshVL,1
RIGL,OLQVL,1
