source,target,weight
ADAL,ADEL,1032
ADAL,ADFL,1687
ADAL,AIBR,3937
ADAL,AIML,373
ADAL,AIZR,181
ADAL,ALML,11486
ADAL,AQR,927
ADAL,ASHL,28840
ADAL,AVAR,15085
ADAL,AVBL,16956
ADAL,AVBR,10909
ADAL,AVDL,265
ADAL,AVDR,5843
ADAL,AVEL,1396
ADAL,AVHR,1512
ADAL,AVJL,370
ADAL,AVJR,1275
ADAL,AWAL,579
ADAL,AWBL,1733
ADAL,BDUL,2048
ADAL,CEPDL,165
ADAL,CEPVL,234
ADAL,FLPL,1394
ADAL,FLPR,5169
ADAL,IL1VL,334
ADAL,IL2DL,720
ADAL,IL2L,155
ADAL,OLQDL,681
ADAL,OLQVL,1265
ADAL,PVCR,503
ADAL,PVR,1278
ADAL,RIAL,23
ADAL,RICL,6665
ADAL,RICR,8880
ADAL,RIFL,2857
ADAL,RIML,36725
ADAL,RIPL,6946
ADAL,RIR,13
ADAL,RIVL,488
ADAL,RIVR,271
ADAL,RMEL,97
ADAL,RMGL,2520
ADAL,SAADL,1506
ADAL,SDQL,409
ADAL,SDQR,1672
ADAL,SIADR,289
ADAL,SIAVL,1631
ADAL,SIBDL,3931
ADAL,SIBDR,396
ADAL,SIBVL,1848
ADAL,SMBVL,2983
ADAL,SMDDL,1393
ADAL,URADL,272
ADAL,URAVL,713
ADAL,URBL,4342
ADAL,URXL,16119
ADAL,URYDL,959
ADAL,URYVL,305
ADAR,ADAL,801
ADAR,ADER,546
ADAR,ADFR,2030
ADAR,ADLR,3876
ADAR,AIAR,500
ADAR,AIBL,6797
ADAR,AIBR,320
ADAR,AIMR,110
ADAR,AIZR,307
ADAR,ALMR,11423
ADAR,AQR,150
ADAR,ASKR,1457
ADAR,AVAR,9440
ADAR,AVBL,9399
ADAR,AVBR,16237
ADAR,AVDL,2709
ADAR,AVDR,1682
ADAR,AVEL,393
ADAR,AVER,1027
ADAR,AVHL,8538
ADAR,AVJL,6521
ADAR,AVJR,617
ADAR,AVM,120
ADAR,AWAR,94
ADAR,AWBR,2580
ADAR,BDUR,127
ADAR,CEPVR,398
ADAR,DVA,4835
ADAR,FLPL,2659
ADAR,IL1VR,501
ADAR,IL2DR,365
ADAR,IL2VR,426
ADAR,OLQDR,309
ADAR,OLQVR,5278
ADAR,PVCR,189
ADAR,PVPR,1456
ADAR,PVQR,1623
ADAR,PVR,1527
ADAR,RIAR,1718
ADAR,RICL,13328
ADAR,RICR,7569
ADAR,RID,577
ADAR,RIFR,6048
ADAR,RIML,519
ADAR,RIPR,7315
ADAR,RIVL,592
ADAR,RIVR,240
ADAR,RMFL,964
ADAR,RMGR,3808
ADAR,SAADR,2167
ADAR,SDQR,2389
ADAR,SIADL,338
ADAR,SIAVR,527
ADAR,SIBDR,4576
ADAR,SIBVL,820
ADAR,SMBDR,1256
ADAR,SMDDR,484
ADAR,URADR,1775
ADAR,URAVR,385
ADAR,URBR,2879
ADAR,URXR,16495
ADAR,URYDR,780
ADAR,URYVR,2065
ADEL,ADER,8129
ADEL,AIML,81
ADEL,AINL,5046
ADEL,AIYL,22
ADEL,ALML,9304
ADEL,AQR,1547
ADEL,ASJL,4660
ADEL,AVAR,6776
ADEL,AVEL,2590
ADEL,AVFR,80
ADEL,BDUL,2713
ADEL,CEPDL,1226
ADEL,FLPR,383
ADEL,IL1L,3739
ADEL,IL2L,6867
ADEL,OLLL,3640
ADEL,PVR,992
ADEL,RIFL,5338
ADEL,RIGL,5506
ADEL,RIH,740
ADEL,RIS,51
ADEL,RIVL,3443
ADEL,RMDL,529
ADEL,RMDR,1191
ADEL,RMDVL,6680
ADEL,RMEL,1222
ADEL,RMHR,1603
ADEL,SAADR,4543
ADEL,SDQR,2121
ADEL,SIADR,2394
ADEL,SIBDL,7
ADEL,SIBDR,3291
ADEL,SMBDR,2321
ADEL,URXL,121
ADER,AINR,4014
ADER,ALA,37
ADER,ALMR,5691
ADER,AQR,241
ADER,ASJR,288
ADER,AVAR,1245
ADER,AVDR,3527
ADER,AVER,1042
ADER,AVHR,740
ADER,BDUR,2186
ADER,FLPR,2082
ADER,HSNR,80
ADER,IL1R,587
ADER,PVR,842
ADER,RIFR,2993
ADER,RIGL,370
ADER,RIH,3921
ADER,RMDDL,1362
ADER,RMDL,1680
ADER,RMEL,1244
ADER,RMER,3034
ADER,RMHL,7326
ADER,SAADL,351
ADER,SDQR,1799
ADER,SIAVR,787
ADER,SIBDL,3180
ADER,SMBVR,1064
ADER,SMDDL,2354
ADFL,AFDL,2964
ADFL,AIML,4389
ADFL,ASHL,7772
ADFL,AUAL,24452
ADFL,AVHR,10996
ADFL,DVA,497
ADFL,OLQVL,1635
ADFL,RIFL,2629
ADFL,RIH,768
ADFR,ADFL,2205
ADFR,AFDR,3552
ADFR,AIBR,882
ADFR,AIMR,386
ADFR,AIZR,23182
ADFR,ASEL,1196
ADFR,ASER,353
ADFR,ASHL,563
ADFR,AUAL,6489
ADFR,AUAR,23513
ADFR,AVAR,353
ADFR,AVHL,5525
ADFR,AWAR,6430
ADFR,AWBL,1541
ADFR,AWBR,19806
ADFR,AWCL,191
ADFR,AWCR,26
ADFR,OLQVR,845
ADFR,RIFR,562
ADFR,RIH,233
ADFR,RIR,14228
ADFR,SIAVR,192
ADFR,SMBDR,6325
ADFR,SMBVR,14908
ADFR,URXR,421
ADLL,ADAL,15532
ADLL,ADFL,999
ADLL,ADLR,2879
ADLL,AIAL,4675
ADLL,AIBL,13660
ADLL,AIYL,485
ADLL,ALA,4395
ADLL,ASEL,15542
ADLL,ASGL,1500
ADLL,ASHL,15382
ADLL,ASIL,742
ADLL,ASKL,20930
ADLL,ASKR,485
ADLL,AVAL,2365
ADLL,AVAR,7281
ADLL,AVBL,298
ADLL,AVDL,709
ADLL,AVDR,2722
ADLL,AVEL,393
ADLL,AVFL,4215
ADLL,AVFR,94
ADLL,AVHL,2119
ADLL,AVHR,6582
ADLL,AVJL,419
ADLL,AVJR,148
ADLL,AWAL,34216
ADLL,AWBL,16934
ADLL,AWCL,24660
ADLL,AWCR,741
ADLL,DVA,495
ADLL,IL1DL,411
ADLL,IL1L,11
ADLL,IL2L,261
ADLL,OLLL,414
ADLL,PVPL,3966
ADLL,RIFL,128
ADLL,RIML,212
