source,target,weight
AVER,CEPDL,10288
AVER,IL2R,211
AVER,SMDVL,68
AVER,DVC,1843
AVER,RIMR,8015
AVER,AVEL,844
AVER,SAADR,324
AVER,AVDR,615
AVER,OLQDL,347
AVER,AUAL,265
AVER,SIBVR,845
AVER,ADAL,146
AVER,AIML,784
AVER,RIBL,24864
AVER,PVPL,8212
AVER,RIVL,1477
AVER,AIBL,5189
AVER,SMDDL,2139
AVER,CEPVL,8438
AVER,SIAVL,15710
AVER,CEPDR,382
AVER,RMGR,7376
AVER,FLPR,1900
AVER,RMDDL,4118
AVER,AQR,201
AVER,SMBDL,2348
AVER,ADAR,451
AVER,RMEV,405
AVER,OLLL,31351
AVER,RIR,950
AVER,RIAL,2100
AVER,SMDVR,6074
AVER,AIMR,825
AVER,ADER,4525
AVER,ASJR,10
AVER,SAAVL,1163
AVER,AVDL,14497
AVER,ALA,13456
AVER,RIGR,4736
AVER,AVAR,9816
AVER,SIBVL,5840
AVER,RIAR,1934
AVER,AVFL,247
AVER,AVKL,5283
AVER,RIH,7072
AVER,AIAL,72
AVER,AVKR,26406
AVER,RIGL,5408
AVER,SIBDR,92
AVER,DVA,15043
AVER,AIBR,11353
AVER,AVBL,415
AVER,AINR,4
AVER,URYDR,1313
AVER,ASHR,5057
AVER,URBR,322
AVER,RMDVR,2500
AVER,AVM,188
AVER,SAAVR,701
AVER,PVCL,6692
AVER,IL1L,2474
AVER,RIML,9808
AVER,URXR,1891
AVER,AVBR,20138
AVER,RMDVL,3480
AVER,RMEL,231
AVER,AIZR,17744
AVER,SIADR,1811
AVER,SAADL,1278
AVER,RMFR,444
AVER,SMBVR,1417
AVER,IL1R,2541
AVER,RIBR,6629
AVER,IL2DR,121
AVER,RMDR,20886
AVER,PVQR,1347
AVER,RMHR,1089
AVER,SMBVL,2716
AVER,AVJL,1605
AVER,SMDDR,3361
AVER,BAGL,19263
AVER,RIVR,485
AVER,AUAR,14280
AVER,URYDL,10096
AVER,SIADL,4657
AVER,URYVL,11658
AVER,RIS,7148
