source,target,weight
AIYR,DB1,428040.0
AIYR,ADLR,5400.0
AIYR,ASKR,39240.0
AIYR,AWCR,163680.0
AIYR,RIR,87000.0
AIYR,RIS,475440.0
AIYR,RIH,372840.0
AIYR,FLPR,86640.0
AIYR,FLPL,41400.0
AIYR,AVJL,153360.0
AIYR,AWBR,507240.0
AIYR,URXR,198720.0
AIYR,ASGR,9000.0
AIYR,AIAR,207600.0
AIYR,RIMR,37920.0
AIYR,AFDR,2873160.0
AIYR,AUAR,1854840.0
AIYR,AINR,87960.0
AIYR,AINL,163440.0
AIYR,PVQR,50040.0
AIYR,ASEL,390360.0
AIYR,SIBDR,20520.0
AIYR,DVA,600.0
AIYR,AWCL,491160.0
AIYR,RIVR,6120.0
AIYR,RIFR,55320.0
AIYR,AIMR,148080.0
AIYR,ASER,2189880.0
AIYR,BAGR,142800.0
AIYR,AFDL,14280.0
AIYR,BAGL,708720.0
AIYR,AIBR,566040.0
AIYR,AVKR,63000.0
AIYR,AWAR,430560.0
AIYR,SMBVR,43920.0
AIYR,ASIR,67440.0
AIYR,AIZR,1026960.0
AIYR,RIAR,657840.0
AIYR,ADFR,236280.0
AIYR,RIBR,1265400.0
AIYR,SIAVR,37080.0
AIYR,ASHR,8640.0
IL1DL,ADLL,32520.0
IL1DL,AWCR,20760.0
IL1DL,BWM-DL01,79200.0
IL1DL,RIH,120840.0
IL1DL,ASKL,16920.0
IL1DL,CEPDL,523800.0
IL1DL,URYDL,989040.0
IL1DL,AVJL,22200.0
IL1DL,AVL,29040.0
IL1DL,ASJL,14640.0
IL1DL,IL2L,63360.0
IL1DL,AWBL,2160.0
IL1DL,AVHL,20400.0
IL1DL,URXL,16440.0
IL1DL,RMDDR,16800.0
IL1DL,AUAL,107160.0
IL1DL,RMER,34080.0
IL1DL,RMEV,98880.0
IL1DL,RMEL,687000.0
IL1DL,RMED,235200.0
IL1DL,AINR,19080.0
IL1DL,PVQL,9480.0
IL1DL,AINL,21240.0
IL1DL,BWM-DL04,5400.0
IL1DL,OLLL,474480.0
IL1DL,AWCL,48960.0
IL1DL,DVC,26160.0
IL1DL,IL1L,209640.0
IL1DL,PVR,156600.0
IL1DL,PVT,22920.0
IL1DL,IL2DL,842520.0
IL1DL,AIML,15960.0
IL1DL,ASER,26760.0
IL1DL,OLQDL,1014960.0
IL1DL,RIGL,13800.0
IL1DL,AFDL,10920.0
IL1DL,ALA,26160.0
IL1DL,BAGL,45480.0
IL1DL,URADL,452520.0
IL1DL,RIPL,537840.0
IL1DL,RMDVL,2680320.0
IL1DL,ASIL,17520.0
IL1DL,BWM-DL02,185040.0
IL1DL,AWAL,2280.0
IL1DL,AVDL,3120.0
CEPVR,ADLR,64800.0
CEPVR,RIR,48240.0
CEPVR,RIS,254280.0
CEPVR,RICR,266640.0
CEPVR,RIVL,16440.0
CEPVR,IL2VR,199680.0
CEPVR,AVJL,11760.0
CEPVR,URBR,398280.0
CEPVR,AVBR,34320.0
CEPVR,BWM-VR02,3840.0
CEPVR,BWM-VR01,22560.0
CEPVR,AWBR,51600.0
CEPVR,BWM-VR05,172800.0
CEPVR,BWM-VR04,33240.0
CEPVR,BWM-VR03,295560.0
CEPVR,ALMR,434880.0
CEPVR,AVHL,61200.0
CEPVR,RMDR,748800.0
CEPVR,URXR,88920.0
CEPVR,BWM-VR06,374280.0
CEPVR,SMDVL,519360.0
CEPVR,RMDL,54600.0
CEPVR,RMDDR,502920.0
CEPVR,ADAR,3120.0
CEPVR,BWM-VR07,242160.0
CEPVR,AUAR,146040.0
CEPVR,RICL,114600.0
CEPVR,SIBVL,52560.0
CEPVR,SAADR,1080.0
CEPVR,BWM-DR04,52200.0
CEPVR,AINL,1920.0
CEPVR,SIBDR,88080.0
CEPVR,RIML,10800.0
CEPVR,OLLR,648240.0
CEPVR,PVR,704400.0
CEPVR,OLQVR,325200.0
CEPVR,AVEL,374760.0
CEPVR,RIFR,11040.0
CEPVR,URYVR,656760.0
CEPVR,URAVR,96960.0
CEPVR,SDQR,130200.0
CEPVR,BAGL,15480.0
CEPVR,PVCR,13200.0
CEPVR,RIPR,7320.0
CEPVR,RMDVL,90240.0
CEPVR,PVCL,6120.0
CEPVR,PVPR,16800.0
CEPVR,SMBVR,494400.0
CEPVR,RMHR,46920.0
CEPVR,BWM-VR08,15840.0
CEPVR,IL1VR,672360.0
CEPVR,SIBVR,1560.0
CEPVR,AIZR,17520.0
CEPVR,RIAR,604560.0
CEPVR,ADFR,21240.0
CEPVR,RIBR,190200.0
CEPVR,SIAVR,39360.0
CEPVR,AVDL,33240.0
CEPVR,RIAL,147120.0
CEPVR,ASHR,3360.0
CANL,ADLL,37920.0
CANL,ALA,267960.0
