source,target,weight
I1L,I1R,66
I1L,I2L,6988
I1L,I2R,261
I1L,I3,4193
I1L,I5,10599
I1L,I6,1051
I1L,M1,402
I1L,M2L,1808
I1L,M3L,1528
I1L,M3R,187
I1L,M4,83
I1L,MCL,6059
I1L,MCR,3799
I1L,MI,3811
I1L,NSML,1087
I1R,I2L,431
I1R,I2R,6888
I1R,I3,761
I1R,I5,5418
I1R,I6,2692
I1R,M2R,2984
I1R,M3R,1230
I1R,MCL,6462
I1R,MCR,5573
I1R,MI,787
I1R,NSML,236
I1R,NSMR,326
I2L,I2R,13576
I2L,I4,15343
I2L,I5,11802
I2L,I6,549
I2L,M1,2483
I2L,M2L,1280
I2L,M3L,48
I2L,M3R,1262
I2L,M4,9629
I2L,MCR,7207
I2L,NSML,15394
I2L,NSMR,24636
I2R,I4,22903
I2R,I5,11595
I2R,I6,2693
I2R,M1,4245
I2R,M2L,1933
I2R,M2R,1215
I2R,M3L,133
I2R,M3R,1272
I2R,M4,13670
I2R,MCL,4969
I2R,MCR,3952
I2R,MI,166
I2R,NSML,47440
I2R,NSMR,10274
I3,I6,11993
I3,M1,628
I3,M2L,126
I3,M2R,2320
I3,M3L,3403
I3,M3R,1173
I3,MCL,597
I3,MCR,1248
I3,MI,12467
I3,NSMR,4542
I4,I5,14793
I4,M1,446
I4,M2L,12718
I4,M2R,7560
I4,M3L,1683
I4,M3R,8368
I4,M4,9570
I4,MCR,331
I4,MI,4969
I4,NSML,9533
I4,NSMR,9881
I5,I6,226
I5,M1,6298
I5,M2R,1356
I5,M3L,6109
I5,M3R,1216
I5,M4,43450
I5,MCL,4546
I5,MCR,7429
I5,MI,24728
I5,NSML,11223
I5,NSMR,10360
I6,M3L,2039
I6,M4,11078
I6,MCR,52
I6,NSML,11472
I6,NSMR,12693
M1,M4,2873
M1,MI,4889
M1,NSML,816
M2L,M2R,3196
M2L,M3L,9633
M2L,M3R,1289
M2L,M4,1456
M2L,MCL,3372
M2L,MI,1144
M2L,NSML,7980
M2R,M3L,453
M2R,M3R,14235
M2R,M4,4026
M2R,MCL,88
M2R,MCR,2597
M2R,MI,1858
M2R,NSMR,8920
M3L,M3R,1584
M3L,M4,2802
M3L,MCL,1209
M3L,MI,2693
M3L,NSML,9873
M3L,NSMR,1297
M3R,M4,1889
M3R,MCL,355
M3R,MCR,712
M3R,MI,2290
M3R,NSMR,9794
M4,MCL,60
M4,MCR,3
M4,MI,3934
M4,NSML,10909
M4,NSMR,659
MCL,MCR,13659
MCL,MI,4305
MCL,NSML,834
MCR,MI,2371
MCR,NSML,1600
MCR,NSMR,1067
MI,NSML,1222
MI,NSMR,452
NSML,NSMR,7248
