source,target,weight
I1L,I2L,9735
I1L,I2R,66
I1L,I3,4156
I1L,M2L,1741
I1L,M3L,3695
I1L,M3R,2270
I1L,M4,193
I1L,MCL,9690
I1L,MCR,4779
I1L,MI,1210
I1L,NSML,1315
I1L,NSMR,1032
I1R,I2L,3984
I1R,I2R,9650
I1R,I3,5295
I1R,I4,308
I1R,M1,2126
I1R,M2L,84
I1R,M2R,1728
I1R,M3L,157
I1R,M3R,1697
I1R,M4,557
I1R,MCL,1701
I1R,MCR,5687
I1R,MI,1324
I1R,NSML,324
I1R,NSMR,2218
I2L,I2R,3074
I2L,I3,2037
I2L,I4,13327
I2L,I6,3040
I2L,M1,1072
I2L,M2L,1382
I2L,M3L,269
I2L,M3R,4097
I2L,M4,9090
I2L,MCL,5613
I2L,MCR,3879
I2L,NSML,23444
I2L,NSMR,25289
I2R,I3,50
I2R,I4,11190
I2R,M1,232
I2R,M2L,848
I2R,M2R,1112
I2R,M3L,4875
I2R,M3R,79
I2R,M4,3268
I2R,MCL,400
I2R,MCR,160
I2R,NSML,22241
I2R,NSMR,9800
I3,M1,8352
I3,M2L,3617
I3,M2R,2908
I3,M3L,337
I3,M3R,51
I3,M4,1977
I3,MCL,2190
I3,MCR,459
I3,MI,10338
I4,M1,10662
I4,M2L,5854
I4,M2R,3574
I4,M3L,2142
I4,M3R,2434
I4,M4,4281
I4,MI,9609
I4,NSML,2862
I4,NSMR,5588
I6,M3R,112
I6,M4,11659
I6,NSML,6540
I6,NSMR,5182
M1,M4,1903
M1,MI,6339
M1,NSML,554
M2L,M2R,96
M2L,M3L,8784
M2L,M3R,24
M2L,M4,374
M2L,MCL,2072
M2L,MI,621
M2L,NSML,6305
M2R,M3R,7095
M2R,M4,1718
M2R,MCR,1684
M2R,MI,2099
M2R,NSMR,2818
M3L,M3R,423
M3L,M4,2221
M3L,MCL,53
M3L,MCR,502
M3L,MI,880
M3L,NSML,1768
M3L,NSMR,966
M3R,M4,3157
M3R,MCL,17
M3R,MCR,142
M3R,MI,550
M3R,NSML,2854
M3R,NSMR,5902
M4,MCL,2270
M4,MCR,216
M4,MI,2342
M4,NSML,8878
M4,NSMR,3610
MCL,MCR,1809
MCL,MI,4308
MCL,NSML,4179
MCL,NSMR,344
MCR,MI,2099
MCR,NSML,146
MCR,NSMR,2773
MI,NSMR,417
NSML,NSMR,887
