source,target,weight
ADAL,AIBR,1
ADAL,AVAL,2
ADAL,AVAR,1
ADAL,AVBL,8
ADAL,AVBR,5
ADAL,AVER,1
ADAL,AVJL,1
ADAL,AVJR,2
ADAL,RICL,1
ADAL,RICR,1
ADAL,RIML,5
ADAL,RIPL,3
ADAR,AIBL,1
ADAR,ASHR,1
ADAR,AVAL,2
ADAR,AVAR,1
ADAR,AVBL,3
ADAR,AVBR,8
ADAR,AVEL,1
ADAR,AVJL,4
ADAR,RIMR,3
ADAR,RIPR,4
ADAR,SMDDR,1
ADEL,ADER,2
ADEL,AVAL,2
ADEL,AVAR,1
ADEL,AVDL,3
ADEL,AVEL,1
ADEL,BDUL,1
ADEL,FLPL,2
ADEL,OLLL,2
ADEL,PVR,1
ADEL,RIFL,1
ADEL,RIGL,6
ADEL,RIGR,7
ADEL,RIVL,1
ADEL,RMDL,1
ADEL,RMDR,1
ADEL,SIBDR,1
ADER,ADAR,2
ADER,ADEL,1
ADER,ALMR,1
ADER,AVAL,3
ADER,AVAR,1
ADER,AVDR,1
ADER,AVER,1
ADER,BDUR,1
ADER,CEPDR,1
ADER,PVR,1
ADER,RIFR,1
ADER,RIGL,7
ADER,RIGR,1
ADER,RIVR,1
ADER,RMDDL,1
ADER,RMDR,1
ADER,RMHL,2
ADER,SDQR,1
ADER,SIAVR,1
ADFL,AIYL,1
ADFL,AIZL,6
ADFL,AUAL,4
ADFL,AVHR,2
ADFL,RIAL,14
ADFL,RIGL,2
ADFL,RIR,1
ADFL,SIBVL,1
ADFL,SMBDL,2
ADFL,SMBVL,5
ADFR,AIZL,2
ADFR,AIZR,10
ADFR,ASEL,1
ADFR,AUAR,4
ADFR,AVHL,1
ADFR,RIAR,15
ADFR,SMBVR,6
ADFR,URXR,1
ADLL,AIAL,4
ADLL,AIBL,8
ADLL,ASEL,2
ADLL,ASKL,1
ADLL,AVAR,3
ADLL,AVDL,2
ADLL,AVDR,5
ADLL,AVHL,2
ADLL,AWBL,1
ADLL,AWCL,5
ADLL,PVPL,1
ADLL,SMBVL,1
ADLR,AIAR,5
ADLR,AIBR,6
ADLR,ASER,3
ADLR,ASHR,3
ADLR,ASKR,1
ADLR,AVAR,1
ADLR,AVDL,4
ADLR,AVDR,1
ADLR,AVJR,1
ADLR,AWCR,4
ADLR,SMBVR,1
AFDL,AIYL,5
AFDR,AIYR,8
AFDR,BAGL,1
AIAL,AIBL,9
AIAL,ASEL,2
AIAL,ASIL,2
AIAL,AWCR,3
AIAL,RIFL,2
AIAR,ADAR,1
AIAR,AIBR,13
AIAR,ASER,1
AIAR,ASHR,2
AIAR,AWCR,10
AIAR,RIFR,3
AIBL,AIAL,1
AIBL,AVBL,4
AIBL,AVBR,1
AIBL,AVEL,1
AIBL,RIBR,4
AIBL,RIML,1
AIBL,RIMR,12
AIBL,SAADL,2
AIBL,SMDDR,4
AIBR,AVAL,1
AIBR,AVBR,4
AIBR,DVC,1
AIBR,RIBL,8
AIBR,RIML,13
AIBR,RIMR,1
AIBR,SAADR,2
AIBR,SMDDL,6
AIBR,SMDVL,2
AIML,ADFL,1
AIML,AIAL,7
AIML,AIBL,1
AIML,ASGL,4
AIML,ASJL,2
AIML,ASKL,1
AIML,AVEL,1
AIML,AVFL,1
AIML,CEPshVL,1
AIMR,ADFR,1
AIMR,AIAR,6
AIMR,AIYR,1
AIMR,ASGR,4
AIMR,ASJR,2
AIMR,ASKR,2
AIMR,AVDR,1
AIMR,URXR,1
AINL,AFDR,5
AINL,AIBL,1
AINL,ASEL,1
AINL,AUAR,2
AINL,BAGL,4
AINL,BAGR,2
AINL,CEPshVR,2
AINL,CEPVR,1
AINL,RIBL,2
AINL,RIBR,2
AINL,RID,1
AINR,AFDL,3
AINR,ASER,1
AINR,AUAL,1
AINR,BAGL,1
AINR,BAGR,4
AINR,CEPshVL,3
AINR,CEPVL,2
AINR,RIBL,3
AINR,RIBR,2
AINR,RIML,1
AIYL,AFDL,2
AIYL,AIZL,12
AIYL,ASEL,2
AIYL,ASER,1
AIYL,RIAL,2
AIYL,RIBL,3
AIYL,RIR,1
AIYR,AIZR,11
AIYR,ASER,1
AIYR,BAGL,1
AIYR,RIAR,3
AIYR,RIBR,4
AIZL,AIAL,7
AIZL,AIBL,6
AIZL,AIBR,8
AIZL,ASEL,1
AIZL,AVER,4
AIZL,RIAL,10
AIZL,RIML,7
AIZL,SMBDL,8
AIZL,SMBDR,1
AIZL,SMBVL,13
AIZR,AIAR,8
AIZR,AIBL,8
AIZR,AIBR,7
AIZR,ASER,1
AIZR,AVEL,3
AIZR,AVER,1
AIZR,AWAR,1
AIZR,AWBR,2
AIZR,BAGL,1
AIZR,RIAR,11
AIZR,RIBR,1
AIZR,RIMR,5
AIZR,SMBDR,5
AIZR,SMBVR,8
ALA,AVAL,1
ALA,AVEL,3
ALA,AVER,4
ALA,CEPshVL,1
ALA,CEPshVR,3
ALML,ADEL,1
ALML,AVDL,1
ALML,AVJR,1
ALML,BDUL,6
ALML,CEPDL,2
ALML,CEPVL,2
ALML,PVCL,4
ALML,PVCR,2
ALML,PVNL,1
ALML,PVR,1
