source,target,weight
ADAL,AIBR,1
ADAL,AIZL,1
ADAL,AVAL,1
ADAL,AVBL,3
ADAL,AVBR,2
ADAL,AVDR,2
ADAL,AVJR,2
ADAL,RIML,3
ADAL,RIPL,1
ADAL,SAAVL,1
ADAR,AVBL,1
ADAR,AVBR,4
ADAR,AVEL,1
ADAR,AVJL,3
ADAR,DVA,1
ADAR,OLQVR,1
ADAR,RICL,1
ADAR,RICR,1
ADAR,RIMR,2
ADAR,RIPR,3
ADAR,URADR,1
ADEL,AVAR,2
ADEL,AVDR,1
ADEL,AVKL,1
ADEL,RIFL,1
ADEL,RIGL,2
ADEL,RIS,1
ADEL,SAADL,1
ADEL,SMDVR,1
ADER,AQR,2
ADER,AVAL,2
ADER,RIGR,2
ADFL,ADAL,2
ADFL,ADFR,1
ADFL,AFDL,1
ADFL,AIZL,6
ADFL,AIZR,1
ADFL,ASHL,1
ADFL,AUAL,3
ADFL,RIAL,8
ADFL,RIMR,1
ADFL,SMBVL,4
ADFR,ADFL,1
ADFR,AFDR,1
ADFR,AIAR,1
ADFR,AIZR,5
ADFR,AUAR,1
ADFR,RIAR,7
ADFR,RIGR,1
ADFR,RIR,2
ADFR,SMBVR,1
ADFR,URXR,1
ADLL,ADAL,3
ADLL,AIAL,6
ADLL,AIBL,4
ADLL,ASHL,1
ADLL,ASJL,1
ADLL,ASKL,6
ADLL,AVAL,3
ADLL,AVDL,2
ADLL,AVDR,2
ADLL,AVJL,1
ADLL,AWCL,2
ADLL,OLLL,1
ADLR,ADAR,1
ADLR,AIAR,4
ADLR,AIBR,5
ADLR,ASHR,3
ADLR,ASKR,3
ADLR,AVAR,4
ADLR,AVDR,1
ADLR,AVJR,1
ADLR,AWCR,2
ADLR,SIBDL,1
AFDL,AIYL,6
AFDL,AIZL,1
AFDL,BAGR,2
AFDR,AIYR,5
AFDR,AWAR,1
AFDR,BAGL,1
AIAL,AIBL,9
AIAL,ASHL,2
AIAL,ASKL,3
AIAL,AWAL,1
AIAL,AWCL,2
AIAL,AWCR,3
AIAL,RIFL,1
AIAR,ADLR,1
AIAR,AIBR,8
