,pre,post,pharynx_combined_synapses.csv' with 20 nodes and 108 edges_weight,conserved,average_size
0,I1L,I2L,12.5,1,12.5
1,I1L,I3,3.0,1,3.0
2,I1L,I5,6.0,1,6.0
3,I1L,M2L,3.0,1,3.0
4,I1L,M3L,10.0,1,10.0
5,I1L,M3R,4.5,1,4.5
6,I1L,MCL,2.0,1,2.0
7,I1L,MCR,2.0,1,2.0
8,I1L,MI,2.5,1,2.5
9,I1L,NSML,5.5,1,5.5
10,I2L,I2R,7.0,1,7.0
11,I2L,I4,15.5,1,15.5
12,I2L,I5,5.5,1,5.5
13,I2L,I6,3.0,1,3.0
14,I2L,M1,4.5,1,4.5
15,I2L,M3R,2.0,1,2.0
16,I2L,M4,2.5,1,2.5
17,I2L,NSML,16.5,1,16.5
18,I2L,NSMR,26.0,1,26.0
19,I3,I5,13.0,1,13.0
20,I3,M1,8.5,1,8.5
21,I3,M2L,3.0,1,3.0
22,I3,M2R,0.5,1,0.5
23,I3,M3L,2.0,1,2.0
24,I3,M3R,3.0,1,3.0
25,I3,M4,2.0,1,2.0
26,I3,MCL,2.5,1,2.5
27,I3,MCR,2.5,1,2.5
28,I3,MI,2.0,1,2.0
29,I3,NSMR,1.5,1,1.5
30,I5,M1,5.5,1,5.5
31,I5,M2L,6.0,1,6.0
32,I5,M2R,3.0,1,3.0
33,I5,M3L,12.5,1,12.5
34,I5,M3R,2.0,1,2.0
35,I5,M4,28.0,1,28.0
36,I5,M5,3.0,1,3.0
37,I5,MCR,3.5,1,3.5
38,I5,MI,7.5,1,7.5
39,I5,NSML,5.5,1,5.5
40,I5,NSMR,20.5,1,20.5
41,M2L,M2R,1.0,1,1.0
42,M2L,M3L,3.0,1,3.0
43,M2L,M3R,0.5,1,0.5
44,M2L,M4,1.0,1,1.0
45,M2L,MI,3.5,1,3.5
46,M3L,M3R,1.0,1,1.0
47,M3L,M4,1.0,1,1.0
48,M3L,MCL,0.5,1,0.5
49,M3L,MI,6.0,1,6.0
50,M3L,NSML,21.5,1,21.5
51,M3R,M4,2.0,1,2.0
52,M3R,MCL,1.0,1,1.0
53,M3R,MI,5.0,1,5.0
54,M3R,NSML,0.5,1,0.5
55,M3R,NSMR,22.5,1,22.5
56,MCL,MI,2.5,1,2.5
57,MI,NSML,2.0,1,2.0
58,MI,NSMR,1.5,1,1.5
59,NSML,NSML,0.5,1,0.5
60,NSML,NSMR,7.0,1,7.0
61,I1R,I2L,1.0,1,1.0
62,I1R,I2R,9.0,1,9.0
63,I1R,I3,6.5,1,6.5
64,I1R,I5,4.0,1,4.0
65,I1R,M1,4.0,1,4.0
66,I1R,M2L,0.5,1,0.5
67,I1R,M2R,3.5,1,3.5
68,I1R,M3L,0.5,1,0.5
69,I1R,M3R,6.0,1,6.0
70,I1R,M4,1.0,1,1.0
71,I1R,MCL,4.0,1,4.0
72,I1R,MCR,4.5,1,4.5
73,I1R,MI,1.0,1,1.0
74,I1R,NSML,1.0,1,1.0
75,I1R,NSMR,1.5,1,1.5
76,I2R,I4,22.5,1,22.5
77,I2R,I5,7.0,1,7.0
78,I2R,M1,5.0,1,5.0
79,I2R,M2R,1.5,1,1.5
80,I2R,M4,1.0,1,1.0
81,I2R,MCL,0.5,1,0.5
82,I2R,NSML,33.0,1,33.0
83,I2R,NSMR,8.5,1,8.5
84,M1,M4,1.0,1,1.0
85,M1,M5,2.0,1,2.0
86,M1,MI,14.5,1,14.5
87,M1,NSML,5.0,1,5.0
88,M2R,M3L,2.0,1,2.0
89,M2R,M3R,2.0,1,2.0
90,M2R,MI,2.0,1,2.0
91,M2R,NSMR,1.0,1,1.0
92,M4,M4,30.0,1,30.0
93,M4,MCL,0.5,1,0.5
94,M4,NSML,12.5,1,12.5
95,I4,I5,9.0,1,9.0
96,I4,M1,0.5,1,0.5
97,I4,M2L,13.0,1,13.0
98,I4,M2R,1.0,1,1.0
99,I4,M3L,6.5,1,6.5
100,I4,M3R,23.5,1,23.5
101,I4,M4,4.5,1,4.5
102,I4,MI,2.0,1,2.0
103,I4,NSML,10.5,1,10.5
104,I4,NSMR,18.0,1,18.0
105,I6,M4,12.5,1,12.5
106,I6,NSML,21.0,1,21.0
107,I6,NSMR,6.0,1,6.0
