source,target,weight
M3R,I1L,3
I5,I1L,1.5
MI,I1L,0.5
I2L,I1L,1.5
I3,I1L,0.5
M1,I1R,1
I2R,I1R,1
I5,I1R,2
I3,I1R,0.5
M1,I2L,2
I1L,I2L,10
I5,I2L,3.5
I2R,I2L,3
NSMR,I2L,1
I1R,I2L,1
I1L,I2L,1
M4,I2L,0.5
NSML,I2L,0.5
I6,I2L,2
M1,I2L,1
I1R,I2R,5
I4,I2R,7
I2L,I2R,4
I5,I2R,3
I1R,I2R,3
M1,I2R,2.5
NSML,I2R,0.5
M1,I3,6
I1R,I3,5
I5,I3,10.5
I1L,I3,2.5
M2L,I3,1.5
MI,I3,1.5
M1,I3,1
I1R,I3,1
M4,I4,4
I5,I4,7
M2R,I4,1
M2L,I4,8
I2L,I4,15.5
I2R,I4,15.5
NSML,I4,2
NSMR,I4,2.5
MI,I4,1
M4,I4,0.5
M1,I4,0.5
M5,I5,1
M4,I5,1
M2R,I5,3
M2L,I5,2
I3,I5,2.5
I1L,I5,4.5
I2R,I5,4
M1,I5,2.5
I4,I5,2
I1R,I5,2
I2L,I5,2
M4,I5,0.5
NSML,I5,0.5
NSMR,I6,2
I2L,I6,1
M5,M1,1
I1R,M1,2
MI,M1,7
I5,M1,3
I2R,M1,2.5
I2L,M1,1.5
I3,M1,1.5
I1R,M1,1
I5,M2L,4
I4,M2L,1
I4,M2L,4
MI,M2L,3.5
I1L,M2L,3
I3,M2L,1.5
M2R,M2L,1
M4,M2L,1
I1R,M2L,0.5
I1R,M2R,3.5
MI,M2R,2
I2R,M2R,1.5
I3,M2R,0.5
NSML,M3L,14
I1L,M3L,10
MI,M3L,5.5
I4,M3L,6.5
I5,M3L,12.5
NSML,M3L,6.5
I3,M3L,2
M2R,M3L,2
M2L,M3L,3
M4,M3L,1
I1R,M3L,0.5
NSMR,M3R,15
I5,M3R,2
I4,M3R,23.5
NSMR,M3R,7.5
I1R,M3R,6
MI,M3R,2
M2R,M3R,2
I2L,M3R,2
I3,M3R,3
M3L,M3R,1
I1L,M3R,1.5
M2L,M3R,0.5
NSML,M3R,0.5
M4,M4,15
M1,M4,1
I5,M4,8
I6,M4,3
M3R,M4,1
M4,M4,15
I5,M4,18.5
NSML,M4,12.5
I1R,M4,1
I2R,M4,1
I6,M4,9.5
I3,M4,2
I2L,M4,2
M3R,M4,1
M1,M5,1
I5,M5,2
I3,MCL,2.5
MI,MCL,2.5
I1L,MCL,2
I1R,MCL,4
M3R,MCL,1
I2R,MCL,0.5
M3L,MCL,0.5
M4,MCL,0.5
I1R,MCR,4.5
I1L,MCR,2
I5,MCR,3.5
I3,MCR,2.5
I5,MI,7.5
M1,MI,7.5
I1L,MI,2
M3R,MI,3
M3L,MI,0.5
I4,MI,1
I1R,MI,1
I3,MI,0.5
I6,NSML,13
M3L,NSML,1
I2R,NSML,32.5
I2L,NSML,16
I5,NSML,5
M1,NSML,5
I1L,NSML,5.5
I4,NSML,8.5
MI,NSML,2
I1R,NSML,1
NSML,NSML,0.5
I6,NSML,8
I5,NSMR,3
I4,NSMR,2
I6,NSMR,3
I2L,NSMR,25
I4,NSMR,13.5
I2R,NSMR,8.5
M2R,NSMR,1
I5,NSMR,17.5
NSML,NSMR,7
I3,NSMR,1.5
MI,NSMR,1.5
I1R,NSMR,1.5
I6,NSMR,1
